0,0,0,0,0
6031935,0,0,0,1
6031947,0,0,1,1
6031958,0,1,1,1
6031970,1,1,1,1
6120057,1,1,1,0
6164076,1,1,1,1
6208096,1,1,1,0
6216158,1,1,0,0
6252117,1,1,0,1
6296136,1,1,0,0
6308151,1,1,1,0
6328291,1,0,1,0
6340159,1,0,1,1
6360361,0,0,1,1
6384178,0,0,1,0
6400144,0,0,0,0
6428199,0,0,0,1
6472222,0,0,0,0
6476260,0,1,0,0
6492142,0,1,1,0
6516246,0,1,1,1
6524325,1,1,1,1
6560268,1,1,1,0
6584139,1,1,0,0
6604291,1,1,0,1
6624233,1,0,0,1
6648312,1,0,0,0
6676135,1,0,1,0
6688288,0,0,1,0
6692333,0,0,1,1
6736356,0,0,1,0
6768132,0,0,0,0
6772206,0,1,0,0
6780379,0,1,0,1
6824403,0,1,0,0
6852255,1,1,0,0
6860130,1,1,1,0
6868425,1,1,1,1
6912445,1,1,1,0
6920177,1,0,1,0
6952124,1,0,0,0
6956467,1,0,0,1
7000487,1,0,0,0
7016213,0,0,0,0
7044117,0,0,1,0
7044508,0,0,1,1
7068145,0,1,1,1
7088530,0,1,1,0
7132553,0,1,1,1
7136114,0,1,0,1
7176580,0,1,0,0
7180182,1,1,0,0
7216125,1,0,0,0
7220605,1,0,0,1
7228118,1,0,1,1
7264631,1,0,1,0
7308655,1,0,1,1
7320121,1,0,0,1
7344157,0,0,0,1
7352680,0,0,0,0
7364106,0,1,0,0
7396704,0,1,0,1
7412121,0,1,1,1
7440728,0,1,1,0
7484752,0,1,1,1
7504119,0,1,0,1
7508125,1,1,0,1
7512080,1,0,0,1
7528770,1,0,0,0
7572790,1,0,0,1
7596109,1,0,1,1
7616808,1,0,1,0
7660043,1,1,1,0
7660828,1,1,1,1
7672077,0,1,1,1
7688099,0,1,0,1
7704847,0,1,0,0
7748870,0,1,0,1
7780096,0,1,1,1
7792893,0,1,1,0
7808012,0,0,1,0
7836042,1,0,1,0
7836917,1,0,1,1
7872097,1,0,0,1
7880943,1,0,0,0
